timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,gps_lat,gps_lon,gps_speed,obd_speed,pressure_front_left,pressure_front_right,pressure_front_center,crash_label
00:00.0,0.048820593,-0.011171652,9.728131585,-0.059899695,0.025932136,0.029532021,6.927065955,79.86125659,33.41531416,33.867092,-0.103832743,-0.090546372,-0.166288914,0
00:00.1,-0.322199279,0.010574462,9.847845902,0.039173192,-0.000310254,0.008598292,6.927082257,79.86117208,36.72337197,36.74882154,-0.022638073,-0.120502645,0.110569743,0
00:00.2,-0.053862357,-0.116964046,9.931771385,-0.047427861,0.049053936,-0.000810075,6.927029166,79.8612241,32.83858885,33.40195299,0.021688855,-0.153968284,-0.125655537,0
00:00.3,0.110942161,0.055344115,9.806929317,0.018461959,-0.014612198,-0.033264742,6.927109743,79.86122907,34.96676716,34.64685352,-0.205876724,-0.139805911,-0.12031901,0
00:00.4,-0.216045756,-0.044886308,9.828592884,0.001572883,0.047886461,-0.016735313,6.927105897,79.86115145,41.19024897,41.29590649,0.058183046,-0.027597977,-0.04294813,0
00:00.5,-0.524748555,-0.000245159,9.794082831,0.049230097,-0.004834245,-0.005165985,6.92711593,79.86120473,30.56145971,30.87381219,-0.054353837,-0.062260222,0.019575276,0
00:00.6,0.02190241,-0.037389302,9.784283454,0.013420238,-0.022060427,-0.01922047,6.927207455,79.86118625,32.96529837,32.67158472,-0.088539958,0.015297508,0.057038766,0
00:00.7,-0.121529911,0.188442771,9.8348075,0.00164033,0.00601179,-0.012394105,6.927185073,79.86113262,32.30565641,31.76785601,-0.014230834,-0.034483627,-0.010569993,0
00:00.8,0.50741835,-0.228125477,9.783209653,0.014892648,-0.036286443,0.04745824,6.927089629,79.86123279,39.21277738,39.31288046,-0.009246209,-0.204741966,0.160120543,0
00:00.9,0.133672154,0.209038105,9.769159959,-0.02323636,-0.014186885,-0.009543978,6.927089364,79.86111337,31.82245027,30.78326102,-0.071581901,-0.006638708,0.009437516,0
00:01.0,0.401367914,-0.072296968,9.787660194,-0.001922975,-0.01916426,0.027139147,6.927064231,79.86127021,34.84292449,34.63285234,0.122226119,-0.037366209,-0.229485164,0
00:01.1,-0.306382328,0.08930759,9.934707211,-0.052543821,-0.065778277,0.016920912,6.927093368,79.8612192,30.13526849,30.0325214,-0.085075221,0.300248735,0.013775181,0
00:01.2,0.19367078,-0.173356632,9.830735208,0.030251488,0.048216907,-0.003405164,6.927079911,79.86122076,33.26642746,32.9235306,0.043516177,-0.167303165,-0.030785145,0
